sar,type,mean,sigma
5.872665922912143,uniform,34,4
5.872957844789144,peripheral,19,22
5.873769503934862,bimodal,5,18
5.875286753038077,uniform,10,24
5.875942495831031,bimodal,19,19
5.876360482615096,uniform,40,7
5.87975145472641,peripheral,21,9
5.880978815450078,bimodal,26,9
5.881511387190534,central,0,37
5.881605137490822,uniform,39,3
5.88179694219118,bimodal,20,25
5.882713572925512,uniform,23,15
5.882906974479743,uniform,42,11
5.8838120260792195,uniform,29,9
5.885053065315172,bimodal,2,18
5.885289086111189,bimodal,12,11
5.8858453378192195,bimodal,29,7
5.8867141202286115,bimodal,11,29
5.88712514236515,uniform,32,8
5.8873060540782385,uniform,44,3
5.887449365150951,uniform,23,17
5.88824103185002,peripheral,8,20
5.8891279683783235,bimodal,44,23
5.889639848637878,uniform,41,6
5.89210980701803,peripheral,16,25
5.89212912846865,uniform,2,15
5.893072525363082,uniform,40,10
5.8954445226876615,peripheral,30,6
5.895468195407153,peripheral,13,1
5.895521887118944,bimodal,14,9
5.895987771992459,peripheral,15,12
5.898346446323671,peripheral,29,26
5.898999279787453,bimodal,5,28
5.899400948134538,bimodal,19,11
5.90003076339671,uniform,48,24
5.901155370188622,bimodal,24,22
5.9012709215439045,bimodal,29,8
5.9015062009874795,uniform,34,7
5.9016503042006345,bimodal,36,25
5.901681132308055,uniform,30,25
5.901872456997339,uniform,4,24
5.902042163312151,bimodal,28,33
5.903223817623762,bimodal,20,9
5.904455974510451,bimodal,15,27
5.9052631307238865,uniform,31,6
5.905294445165222,bimodal,25,8
5.905306464488103,bimodal,14,8
5.9054410346909325,peripheral,5,17
5.905505694556067,bimodal,8,19
5.906706540550172,peripheral,18,25
5.907320510139839,uniform,41,30
5.907919332171279,bimodal,24,17
5.907921702957261,bimodal,32,24
5.9090031224519795,bimodal,33,10
5.9106054978969835,bimodal,11,18
5.910739737510639,peripheral,22,15
5.91209568050483,peripheral,14,18
5.912593042125913,uniform,17,22
5.913539545505373,bimodal,8,24
5.913623556814035,uniform,41,15
5.914680330207364,peripheral,5,19
5.915707612553108,peripheral,10,15
5.917161717499783,uniform,25,24
5.9173155666555335,peripheral,20,25
5.917761576842144,bimodal,19,4
5.918303597611311,bimodal,13,26
5.91904347791032,uniform,18,44
5.919964354016855,peripheral,22,21
5.920964285243639,uniform,46,48
5.92133661171619,peripheral,17,13
5.9229172612208805,bimodal,9,17
5.923181416502983,uniform,10,35
5.923639973733427,uniform,30,28
5.9248381288036285,peripheral,17,46
5.925070634397959,peripheral,26,19
5.925112505187655,uniform,39,2
5.926916203736211,uniform,31,4
5.927293962431614,uniform,44,2
5.927910805021835,peripheral,19,17
5.928175108377821,uniform,38,26
5.928430918151664,bimodal,24,9
5.928660828985027,uniform,10,20
5.928982522869572,bimodal,25,10
5.929432391839187,bimodal,12,23
5.9302531279595,uniform,23,11
5.9309214372111105,peripheral,22,27
5.930979326877432,bimodal,4,45
5.932885838863038,uniform,35,29
5.933266717729159,bimodal,21,1
5.933904596520328,bimodal,31,7
5.934530552884833,uniform,39,8
5.934714209345815,uniform,35,5
5.936058301879794,peripheral,3,14
5.936640338517456,uniform,34,6
5.937661918426032,bimodal,15,12
5.93820161194901,peripheral,5,18
5.938463073174707,uniform,19,13
5.939125360029944,peripheral,27,16
5.939386737709854,uniform,46,5
5.939868671662014,bimodal,34,8
5.940787756541013,uniform,24,12
5.9408804291944515,uniform,18,18
5.94106801844011,bimodal,17,8
5.94151467005622,uniform,9,47
5.94171738101244,peripheral,25,12
5.94278436344903,uniform,22,17
5.943404773281272,uniform,35,18
5.943848022627669,uniform,7,33
5.945147651767377,uniform,11,12
5.945229646999575,bimodal,38,18
5.946069670974452,uniform,7,19
5.946392087060226,bimodal,20,20
5.946955077272294,bimodal,13,15
5.94723231457449,bimodal,4,29
5.947640062118945,uniform,17,14
5.947656507213664,peripheral,33,8
5.948458776986801,peripheral,2,28
5.948909257814856,uniform,42,17
5.949855852224308,peripheral,9,14
5.950423849467905,uniform,17,17
5.9505974802592405,uniform,5,19
